threads,seq,pipeline,map,pipeline_with_farm,pipeline_with_map,pipeline_with_farm_map
1,21841.662600,21655.955800,21748.727000,21552.517000,21651.778600,21672.011600
2,,,11284.683800,11141.907600,11274.400600,11155.045400
3,,,7825.913400,7682.869000,7807.193600,7734.700200
4,,,5882.577600,5753.462800,5876.266200,5812.352400
5,,,4956.765800,4833.497000,4954.997800,4874.141000
6,,,4277.679000,4173.185400,4278.811200,4201.217800
7,,,3771.619000,3669.512400,3774.125800,3688.603400
8,,,3444.171800,3315.153000,3443.815800,3330.811800
9,,,3446.106000,3322.135600,3447.916000,3334.915800
10,,,3494.383200,3321.730800,3449.869000,3335.371600
11,,,3453.459600,3318.616200,3459.134600,3331.133000
12,,,3469.738400,3320.012000,3466.422600,3335.429000
13,,,3472.616600,3319.725000,3476.676200,3336.386400
14,,,3483.047000,3322.310000,3487.832000,3336.515200
15,,,3505.070400,3317.807800,3508.980800,3334.202800
16,,,3511.328000,3320.931600,3518.121200,3355.671600
